Kingdom_Group,log_genome_count,Repeat_length,Spacer_length,Count
Bacteria_Actinobacteria,0.00679663699936338,26,47,31
Bacteria_Actinobacteria,0.00679663699936338,26,48,27
Bacteria_Actinobacteria,0.00679663699936338,26,49,23
Bacteria_Actinobacteria,0.00679663699936338,27,19,2
Bacteria_Actinobacteria,0.00679663699936338,27,21,13
Bacteria_Actinobacteria,0.00679663699936338,27,22,1
Bacteria_Actinobacteria,0.00679663699936338,27,24,4
Bacteria_Actinobacteria,0.00679663699936338,27,25,5
Bacteria_Actinobacteria,0.00679663699936338,27,26,3
Bacteria_Actinobacteria,0.00679663699936338,27,27,10
Bacteria_Actinobacteria,0.00679663699936338,27,28,7
Bacteria_Actinobacteria,0.00679663699936338,27,29,2
Bacteria_Actinobacteria,0.00679663699936338,27,30,4
Bacteria_Actinobacteria,0.00679663699936338,27,31,2
Bacteria_Actinobacteria,0.00679663699936338,27,32,12
Bacteria_Actinobacteria,0.00679663699936338,27,33,79
Bacteria_Actinobacteria,0.00679663699936338,27,34,430
Bacteria_Actinobacteria,0.00679663699936338,27,35,32
Bacteria_Actinobacteria,0.00679663699936338,27,36,24
Bacteria_Actinobacteria,0.00679663699936338,27,37,12
Bacteria_Actinobacteria,0.00679663699936338,27,38,4
Bacteria_Actinobacteria,0.00679663699936338,27,39,29
Bacteria_Actinobacteria,0.00679663699936338,27,40,4
Bacteria_Actinobacteria,0.00679663699936338,27,41,7
Bacteria_Actinobacteria,0.00679663699936338,27,42,17
Bacteria_Actinobacteria,0.00679663699936338,27,43,17
Bacteria_Actinobacteria,0.00679663699936338,27,44,26
Bacteria_Actinobacteria,0.00679663699936338,27,45,87
Bacteria_Actinobacteria,0.00679663699936338,27,46,46
Bacteria_Actinobacteria,0.00679663699936338,27,47,41
Bacteria_Actinobacteria,0.00679663699936338,27,48,16
Bacteria_Actinobacteria,0.00679663699936338,27,49,31
Bacteria_Actinobacteria,0.00679663699936338,28,19,2
Bacteria_Actinobacteria,0.00679663699936338,28,20,25
Bacteria_Actinobacteria,0.00679663699936338,28,21,4
Bacteria_Actinobacteria,0.00679663699936338,28,22,2
Bacteria_Actinobacteria,0.00679663699936338,28,23,11
Bacteria_Actinobacteria,0.00679663699936338,28,24,3
Bacteria_Actinobacteria,0.00679663699936338,28,25,5
Bacteria_Actinobacteria,0.00679663699936338,28,26,110
Bacteria_Actinobacteria,0.00679663699936338,28,27,5
Bacteria_Actinobacteria,0.00679663699936338,28,28,7
Bacteria_Actinobacteria,0.00679663699936338,28,29,15
Bacteria_Actinobacteria,0.00679663699936338,28,30,26
Bacteria_Actinobacteria,0.00679663699936338,28,31,51
Bacteria_Actinobacteria,0.00679663699936338,28,32,456
Bacteria_Actinobacteria,0.00679663699936338,28,33,14667
Bacteria_Actinobacteria,0.00679663699936338,28,34,777
Bacteria_Actinobacteria,0.00679663699936338,28,35,137
Bacteria_Actinobacteria,0.00679663699936338,28,36,25
Bacteria_Actinobacteria,0.00679663699936338,28,37,33
Bacteria_Actinobacteria,0.00679663699936338,28,38,72
Bacteria_Actinobacteria,0.00679663699936338,28,39,62
Bacteria_Actinobacteria,0.00679663699936338,28,40,56
Bacteria_Actinobacteria,0.00679663699936338,28,41,31
Bacteria_Actinobacteria,0.00679663699936338,28,42,17
Bacteria_Actinobacteria,0.00679663699936338,28,43,47
Bacteria_Actinobacteria,0.00679663699936338,28,44,236
Bacteria_Actinobacteria,0.00679663699936338,28,45,62
Bacteria_Actinobacteria,0.00679663699936338,28,46,62
Bacteria_Actinobacteria,0.00679663699936338,28,47,73
Bacteria_Actinobacteria,0.00679663699936338,28,48,26
Bacteria_Actinobacteria,0.00679663699936338,28,49,18
Bacteria_Actinobacteria,0.00679663699936338,29,19,534
Bacteria_Actinobacteria,0.00679663699936338,29,20,3
Bacteria_Actinobacteria,0.00679663699936338,29,21,5
Bacteria_Actinobacteria,0.00679663699936338,29,22,15
